Address,City,State,Zip,Price,Bedrooms,Bathrooms,Waterfront_Status,Property_Type,Listing_Status
520 Cayuga Heights Rd,Ithaca,NY,14850.0,1850000.0,6.0,6.0,Non-Waterfront,Single-Family,Active
20 Renwick Heights Rd,Ithaca,NY,14850.0,649500.0,4.0,2.0,Non-Waterfront,Single-Family,Active
2600 N Triphammer Rd,Ithaca,NY,14850.0,474000.0,4.0,2.0,Non-Waterfront,Single-Family,Active
152 N Sunset Dr,Ithaca,NY,14850.0,625000.0,2.0,4.0,Non-Waterfront,Single-Family,Active
92 Genung Cir,Ithaca,NY,14850.0,1750000.0,4.0,8.0,Non-Waterfront,Single-Family,Active
5 Tyler Rd,Ithaca,NY,14850.0,685000.0,4.0,3.0,Non-Waterfront,Single-Family,Active
51 Waterview Hts,Ithaca,NY,14850.0,1595000.0,5.0,6.0,Non-Waterfront,Single-Family,Active
122 Autumn Ridge Cir,Ithaca,NY,14850.0,699000.0,3.0,2.0,Non-Waterfront,Single-Family,Active
290 Algerine Rd,Lansing,NY,14882.0,1570000.0,4.0,3.0,Waterfront,Single-Family,Pending
212 Wilson Rd,Lansing,NY,14882.0,450000.0,4.0,2.0,Non-Waterfront,Single-Family,Active
5 Fiddlers Grn,Lansing,NY,14882.0,789000.0,4.0,4.0,Non-Waterfront,Single-Family,Active
424 Lansingville Rd,Lansing,NY,14882.0,605000.0,3.0,3.0,Non-Waterfront,Single-Family,Active
165 Reach Run,Lansing,NY,14882.0,1780000.0,4.0,5.0,Waterfront,Single-Family,Pending
22 Ladoga Park Road W,Lansing,NY,14882.0,1455000.0,3.0,3.0,Waterfront,Single-Family,Active
2429 Lower Lake Rd,Seneca Falls,NY,13148.0,699000.0,2.0,3.0,Waterfront,Single-Family,Active
134 Cayuga St,Seneca Falls,NY,13148.0,235000.0,2.0,1.0,Non-Waterfront,Single-Family,Active
2138 Route 89,Seneca Falls,NY,13148.0,795000.0,6.0,6.0,Waterfront,Single-Family,Active
19 Seneca St,Seneca Falls,NY,13148.0,39000.0,4.0,1.0,Non-Waterfront,Single-Family,Active
321 Fall St,Seneca Falls,NY,13148.0,214900.0,0.0,2.0,Non-Waterfront,Single-Family,Active
1990 Rt 318,Seneca Falls,NY,13148.0,75000.0,4.0,2.0,Non-Waterfront,Single-Family,Active
69 Cayuga St,Seneca Falls,NY,13148.0,499900.0,6.0,,Non-Waterfront,Single-Family,Active
5203 State Route 38a,Auburn,NY,13021.0,399999.0,6.0,7.0,Non-Waterfront,Single-Family,Active
5902 North Rd,Auburn,NY,13021.0,298000.0,3.0,2.0,Non-Waterfront,Single-Family,Active
342 Fire Ln #16A,Auburn,NY,13021.0,349900.0,3.0,2.0,Waterfront,Single-Family,Active
3276 Walker Rd,Auburn,NY,13021.0,325000.0,3.0,4.0,Non-Waterfront,Single-Family,Active
12 Orchard Ave,Auburn,NY,13021.0,105000.0,3.0,1.0,Non-Waterfront,Single-Family,Active
4454 Rockefeller Rd,Auburn,NY,13021.0,199900.0,4.0,1.0,Non-Waterfront,Single-Family,Active
151 Burtis Point Rd,Auburn,NY,13021.0,899000.0,2.0,2.0,Waterfront,Single-Family,Active
367 Waters Edge,Auburn,NY,13021.0,1199000.0,4.0,3.0,Waterfront,Single-Family,Active
6382 E Lake Rd,Auburn,NY,13021.0,444995.0,3.0,3.0,Waterfront,Single-Family,Active
5416 W Lake Rd,Auburn,NY,13021.0,675000.0,4.0,2.0,Waterfront,Single-Family,Active
2950 Holland Dr,Auburn,NY,13021.0,495000.0,3.0,2.0,Waterfront,Single-Family,Active
5388 W Lake Rd,Auburn,NY,13021.0,649000.0,4.0,2.0,Waterfront,Single-Family,Active
5896 W Lake Rd,Auburn,NY,13021.0,724900.0,3.0,3.0,Waterfront,Single-Family,Active
5199 W Lake Rd,Auburn,NY,13021.0,999900.0,3.0,2.0,Waterfront,Single-Family,Active
5017 W Lake Rd,Auburn,NY,13021.0,800000.0,4.0,2.0,Waterfront,Single-Family,Active
5567 W Lake Rd,Auburn,NY,13021.0,639000.0,3.0,3.0,Waterfront,Single-Family,Active
4700 W Lake Rd,Auburn,NY,13021.0,1199900.0,6.0,3.0,Waterfront,Single-Family,Active
62 Mary St,Auburn,NY,13021.0,292500.0,3.0,2.0,Non-Waterfront,Single-Family,Active
288 Genesee St,Auburn,NY,13021.0,249900.0,6.0,2.0,Non-Waterfront,Multi-Family,Active
111 Palmer St,Auburn,NY,13021.0,219900.0,2.0,2.0,Non-Waterfront,Single-Family,Active
9 Cayuga St,Auburn,NY,13021.0,230000.0,6.0,2.0,Non-Waterfront,Multi-Family,Active
17 North Park,Auburn,NY,13021.0,199000.0,3.0,2.0,Non-Waterfront,Single-Family,Active
136 Osborne St,Auburn,NY,13021.0,169000.0,3.0,2.0,Non-Waterfront,Single-Family,Active
1 Alden Ave,Auburn,NY,13021.0,349900.0,3.0,2.0,Non-Waterfront,Single-Family,Active
5601 Buck Point Rd,Fleming,NY,13021.0,899000.0,5.0,5.0,Waterfront,Single-Family,Active
4999 Ridge Rd,Union Springs,NY,13160.0,264900.0,3.0,1.0,Non-Waterfront,Single-Family,Active
4338 State Route 90,Springport,NY,13160.0,979000.0,3.0,2.0,Waterfront,Single-Family,Active
4319 State Route 90,Springport,NY,13160.0,319000.0,3.0,3.0,Waterfront,Single-Family,Active
3 Blue Bird Ln,Springport,NY,13160.0,184900.0,3.0,2.0,Non-Waterfront,Single-Family,Active
1228 Fitzpatrick Rd,Springport,NY,13021.0,1100000.0,2.0,2.0,Waterfront,Single-Family,Active
